Mod:Item:MetaData, Localized Name
ExtraUtilities:color_blockLapis:2, Colored Lapis Lazuli Block (Magenta Frequency)
ExtraUtilities:color_blockLapis:3, Colored Lapis Lazuli Block (Light Blue Frequency)
ExtraUtilities:color_blockLapis:4, Colored Lapis Lazuli Block (Yellow Frequency)
ExtraUtilities:color_blockLapis:5, Colored Lapis Lazuli Block (Lime Frequency)
ExtraUtilities:color_blockLapis:6, Colored Lapis Lazuli Block (Pink Frequency)
ExtraUtilities:color_blockLapis:7, Colored Lapis Lazuli Block (Gray Frequency)
ExtraUtilities:color_blockLapis:8, Colored Lapis Lazuli Block (Light Gray Frequency)
ExtraUtilities:color_blockLapis:9, Colored Lapis Lazuli Block (Cyan Frequency)
ExtraUtilities:color_blockLapis:10, Colored Lapis Lazuli Block (Purple Frequency)
ExtraUtilities:color_blockLapis:11, Colored Lapis Lazuli Block (Blue Frequency)
ExtraUtilities:color_blockLapis:12, Colored Lapis Lazuli Block (Brown Frequency)
ExtraUtilities:color_blockLapis:13, Colored Lapis Lazuli Block (Green Frequency)
ExtraUtilities:color_blockLapis:14, Colored Lapis Lazuli Block (Red Frequency)
ExtraUtilities:color_blockLapis:15, Colored Lapis Lazuli Block (Black Frequency)
ExtraUtilities:color_obsidian:0, Colored Obsidian (White Frequency)
ExtraUtilities:color_obsidian:1, Colored Obsidian (Orange Frequency)
ExtraUtilities:color_obsidian:2, Colored Obsidian (Magenta Frequency)
ExtraUtilities:color_obsidian:3, Colored Obsidian (Light Blue Frequency)
ExtraUtilities:color_obsidian:4, Colored Obsidian (Yellow Frequency)
ExtraUtilities:color_obsidian:5, Colored Obsidian (Lime Frequency)
ExtraUtilities:color_obsidian:6, Colored Obsidian (Pink Frequency)
ExtraUtilities:color_obsidian:7, Colored Obsidian (Gray Frequency)
ExtraUtilities:color_obsidian:8, Colored Obsidian (Light Gray Frequency)
ExtraUtilities:color_obsidian:9, Colored Obsidian (Cyan Frequency)
ExtraUtilities:color_obsidian:10, Colored Obsidian (Purple Frequency)
ExtraUtilities:color_obsidian:11, Colored Obsidian (Blue Frequency)
ExtraUtilities:color_obsidian:12, Colored Obsidian (Brown Frequency)
ExtraUtilities:color_obsidian:13, Colored Obsidian (Green Frequency)
ExtraUtilities:color_obsidian:14, Colored Obsidian (Red Frequency)
ExtraUtilities:color_obsidian:15, Colored Obsidian (Black Frequency)
ExtraUtilities:color_blockRedstone:0, Colored Block of Redstone (White Frequency)
ExtraUtilities:color_blockRedstone:1, Colored Block of Redstone (Orange Frequency)
ExtraUtilities:color_blockRedstone:2, Colored Block of Redstone (Magenta Frequency)
ExtraUtilities:color_blockRedstone:3, Colored Block of Redstone (Light Blue Frequency)
ExtraUtilities:color_blockRedstone:4, Colored Block of Redstone (Yellow Frequency)
ExtraUtilities:color_blockRedstone:5, Colored Block of Redstone (Lime Frequency)
ExtraUtilities:color_blockRedstone:6, Colored Block of Redstone (Pink Frequency)
ExtraUtilities:color_blockRedstone:7, Colored Block of Redstone (Gray Frequency)
ExtraUtilities:color_blockRedstone:8, Colored Block of Redstone (Light Gray Frequency)
ExtraUtilities:color_blockRedstone:9, Colored Block of Redstone (Cyan Frequency)
ExtraUtilities:color_blockRedstone:10, Colored Block of Redstone (Purple Frequency)
ExtraUtilities:color_blockRedstone:11, Colored Block of Redstone (Blue Frequency)
ExtraUtilities:color_blockRedstone:12, Colored Block of Redstone (Brown Frequency)
ExtraUtilities:color_blockRedstone:13, Colored Block of Redstone (Green Frequency)
ExtraUtilities:color_blockRedstone:14, Colored Block of Redstone (Red Frequency)
ExtraUtilities:color_blockRedstone:15, Colored Block of Redstone (Black Frequency)
ExtraUtilities:color_blockCoal:0, Colored Block of Coal (White Frequency)
ExtraUtilities:color_blockCoal:1, Colored Block of Coal (Orange Frequency)
ExtraUtilities:color_blockCoal:2, Colored Block of Coal (Magenta Frequency)
ExtraUtilities:color_blockCoal:3, Colored Block of Coal (Light Blue Frequency)
ExtraUtilities:color_blockCoal:4, Colored Block of Coal (Yellow Frequency)
ExtraUtilities:color_blockCoal:5, Colored Block of Coal (Lime Frequency)
ExtraUtilities:color_blockCoal:6, Colored Block of Coal (Pink Frequency)
ExtraUtilities:color_blockCoal:7, Colored Block of Coal (Gray Frequency)
ExtraUtilities:color_blockCoal:8, Colored Block of Coal (Light Gray Frequency)
ExtraUtilities:color_blockCoal:9, Colored Block of Coal (Cyan Frequency)
ExtraUtilities:color_blockCoal:10, Colored Block of Coal (Purple Frequency)
ExtraUtilities:color_blockCoal:11, Colored Block of Coal (Blue Frequency)
ExtraUtilities:color_blockCoal:12, Colored Block of Coal (Brown Frequency)
ExtraUtilities:color_blockCoal:13, Colored Block of Coal (Green Frequency)
ExtraUtilities:color_blockCoal:14, Colored Block of Coal (Red Frequency)
ExtraUtilities:color_blockCoal:15, Colored Block of Coal (Black Frequency)
ExtraUtilities:cobblestone_compressed:0, Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:1, Double Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:2, Triple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:3, Quadruple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:4, Quintuple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:5, Sextuple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:6, Septuple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:7, Octuple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:8, Compressed Dirt
ExtraUtilities:cobblestone_compressed:9, Double Compressed Dirt
ExtraUtilities:cobblestone_compressed:10, Triple Compressed Dirt
ExtraUtilities:cobblestone_compressed:11, Quadruple Compressed Dirt
ExtraUtilities:cobblestone_compressed:12, Compressed Gravel
ExtraUtilities:cobblestone_compressed:13, Double Compressed Gravel
ExtraUtilities:cobblestone_compressed:14, Compressed Sand
ExtraUtilities:cobblestone_compressed:15, Double Compressed Sand
ExtraUtilities:conveyor, Conveyor Belt
ExtraUtilities:filing:0, Filing Cabinet
ExtraUtilities:filing:1, Filing Cabinet (Advanced)
ExtraUtilities:greenscreen:0, Lapis Caelestis Albus (White)
ExtraUtilities:greenscreen:1, Lapis Caelestis Aurantiacus (Orange)
ExtraUtilities:greenscreen:2, Lapis Caelestis Purpura Amethystinus (Magenta)
ExtraUtilities:greenscreen:3, Lapis Caelestis Caesicius (Light Blue)
ExtraUtilities:greenscreen:4, Lapis Caelestis Flavus (Yellow)
ExtraUtilities:greenscreen:5, Lapis Caelestis Viridis (Green)
ExtraUtilities:greenscreen:6, Lapis Caelestis Roseus (Pink)
ExtraUtilities:greenscreen:7, Lapis Caelestis Cinereus (Gray)
ExtraUtilities:greenscreen:8, Lapis Caelestis Lux Cinereus (Light Gray)
ExtraUtilities:greenscreen:9, Lapis Caelestis Callainus (Cyan)
ExtraUtilities:greenscreen:10, Lapis Caelestis Purpura (Purple)
ExtraUtilities:greenscreen:11, Lapis Caelestis Caeruleus (Blue)
ExtraUtilities:greenscreen:12, Lapis Caelestis Fuscus (Brown)
ExtraUtilities:greenscreen:13, Lapis Caelestis Paphiae Myrti (Dark Green)
ExtraUtilities:greenscreen:14, Lapis Caelestis Rufus (Red)
ExtraUtilities:greenscreen:15, Lapis Caelestis Nox (Black)
ExtraUtilities:peaceful_table_top, Peaceful Table
ExtraUtilities:trading_post, Trading Post
ExtraUtilities:sound_muffler:0, Sound Muffler
ExtraUtilities:sound_muffler:1, Rain Muffler
ExtraUtilities:extractor_base:0, Transfer Node (Items)
ExtraUtilities:extractor_base:6, Transfer Node (Liquids)
ExtraUtilities:extractor_base:12, Transfer Node (Energy)
ExtraUtilities:extractor_base:13, Transfer Node (Hyper Energy)
ExtraUtilities:extractor_base_remote:0, Retrieval Node (Items)
ExtraUtilities:extractor_base_remote:6, Retrieval Node (Liquids)
ExtraUtilities:pipes:0, Transfer Pipe
ExtraUtilities:pipes:8, Sorting Pipe
ExtraUtilities:pipes:9, Filter Pipe
ExtraUtilities:pipes:10, Rationing Pipe
ExtraUtilities:pipes:11, Energy Pipe
ExtraUtilities:pipes:12, Crossover Pipe
ExtraUtilities:pipes:13, Mod Sorting Pipe
ExtraUtilities:pipes:14, Energy Extraction Pipe
ExtraUtilities:pipes.1:0, Hyper-Rationing Pipe
ExtraUtilities:cursedearthside:0, Cursed Earth
ExtraUtilities:trashcan:0, Trash Can
ExtraUtilities:trashcan:1, Trash Can (Fluids)
ExtraUtilities:trashcan:2, Trash Can (Energy)
ExtraUtilities:spike_base, Iron Spike
ExtraUtilities:spike_base_diamond, Diamond Spike
ExtraUtilities:spike_base_gold, Golden Spike
ExtraUtilities:spike_base_wood, Wooden Spike
ExtraUtilities:enderThermicPump, Ender-Thermic Pump
ExtraUtilities:enderQuarry, Ender Quarry
ExtraUtilities:enderQuarryUpgrade:0, Ender Quarry Upgrade Base
ExtraUtilities:enderQuarryUpgrade:1, Ender Quarry World Hole Upgrade
ExtraUtilities:enderQuarryUpgrade:2, Ender Quarry Silk Touch Upgrade
ExtraUtilities:enderQuarryUpgrade:3, Ender Quarry Fortune I Upgrade
ExtraUtilities:enderQuarryUpgrade:4, Ender Quarry Fortune II Upgrade
ExtraUtilities:enderQuarryUpgrade:5, Ender Quarry Fortune III Upgrade
ExtraUtilities:enderQuarryUpgrade:6, Ender Quarry Speed I Upgrade
ExtraUtilities:enderQuarryUpgrade:7, Ender Quarry Speed II Upgrade
ExtraUtilities:enderQuarryUpgrade:8, Ender Quarry Speed III Upgrade
ExtraUtilities:enderQuarryUpgrade:9, Ender Quarry Pump Upgrade
ExtraUtilities:plant/ender_lilly, Ender-Lily Seeds
ExtraUtilities:timer, Redstone Clock
ExtraUtilities:magnumTorch, Magnum Torch
ExtraUtilities:drum:0, Drum
ExtraUtilities:drum:1, Bedrockium Drum
ExtraUtilities:generator:0, Survivalist Generator
ExtraUtilities:generator:1, Furnace Generator
ExtraUtilities:generator:2, Lava Generator
ExtraUtilities:generator:3, Ender Generator
ExtraUtilities:generator:4, Heated Redstone Generator
ExtraUtilities:generator:5, Culinary Generator
ExtraUtilities:generator:6, Potions Generator
ExtraUtilities:generator:7, Solar Generator
ExtraUtilities:generator:8, TNT Generator
ExtraUtilities:generator:9, Pink Generator
ExtraUtilities:generator:10, High-temperature Furnace Generator
ExtraUtilities:generator:11, Nether Star Generator
ExtraUtilities:generator.8:0, Survivalist Generator
ExtraUtilities:generator.8:1, Furnace Generator
ExtraUtilities:generator.8:2, Lava Generator
ExtraUtilities:generator.8:3, Ender Generator
ExtraUtilities:generator.8:4, Heated Redstone Generator
ExtraUtilities:generator.8:5, Culinary Generator
ExtraUtilities:generator.8:6, Potions Generator
ExtraUtilities:generator.8:7, Solar Generator
ExtraUtilities:generator.8:8, TNT Generator
ExtraUtilities:generator.8:9, Pink Generator
ExtraUtilities:generator.8:10, High-temperature Furnace Generator
ExtraUtilities:generator.8:11, Nether Star Generator
ExtraUtilities:generator.64:0, Survivalist Generator
ExtraUtilities:generator.64:1, Furnace Generator
ExtraUtilities:generator.64:2, Lava Generator
ExtraUtilities:generator.64:3, Ender Generator
ExtraUtilities:generator.64:4, Heated Redstone Generator
ExtraUtilities:generator.64:5, Culinary Generator
ExtraUtilities:generator.64:6, Potions Generator
ExtraUtilities:generator.64:7, Solar Generator
ExtraUtilities:generator.64:8, TNT Generator
ExtraUtilities:generator.64:9, Pink Generator
ExtraUtilities:generator.64:10, High-temperature Furnace Generator
ExtraUtilities:generator.64:11, Nether Star Generator
ExtraUtilities:dark_portal:0, Portal to The Deep Dark
ExtraUtilities:dark_portal:2, Portal to The Last Millenium
ExtraUtilities:etherealglass:0, Ethereal Glass
ExtraUtilities:etherealglass:1, Ineffable Glass
ExtraUtilities:etherealglass:2, Dark Ethereal Glass
ExtraUtilities:etherealglass:3, Ethereal Glass (Inverted)
ExtraUtilities:etherealglass:4, Ineffable Glass (Inverted)
ExtraUtilities:etherealglass:5, Dark Ethereal Glass (Inverted)
TConstruct:liquid.slime, Liquified Slime
TConstruct:MeatBlock, Hambone
TConstruct:WoolSlab1:0, Light Gray Wool Slab
TConstruct:WoolSlab1:1, Cyan Wool Slab
TConstruct:WoolSlab1:2, Purple Wool Slab
TConstruct:WoolSlab1:3, Blue Wool Slab
TConstruct:WoolSlab1:4, Brown Wool Slab
TConstruct:WoolSlab1:5, Green Wool Slab
TConstruct:WoolSlab1:6, Red Wool Slab
TConstruct:WoolSlab1:7, Black Wool Slab
TConstruct:WoolSlab2:0, Gray Wool Slab
TConstruct:WoolSlab2:1, Gray Wool Slab
TConstruct:WoolSlab2:2, Gray Wool Slab
TConstruct:WoolSlab2:3, Gray Wool Slab
TConstruct:WoolSlab2:4, Gray Wool Slab
TConstruct:WoolSlab2:5, Gray Wool Slab
TConstruct:WoolSlab2:6, Gray Wool Slab
TConstruct:WoolSlab2:7, Gray Wool Slab
TConstruct:trap.punji, Punji Stick
TConstruct:trap.barricade.oak, Oak Barricade
TConstruct:trap.barricade.spruce, Spruce Barricade
TConstruct:trap.barricade.birch, Birch Barricade
TConstruct:trap.barricade.jungle, Jungle Barricade
TConstruct:explosive.slime:0, SDX
TConstruct:explosive.slime:2, SDX
TConstruct:slime.gel:0, Congealed Blue Slime
TConstruct:slime.gel:1, Congealed Green Slime
TConstruct:slime.gel:2, Congealed Purple Slime
TConstruct:slime.grass:0, Slimy Grass
TConstruct:slime.grass.tall:0, Slimy Grass
TConstruct:slime.leaves:0, Slimy Leaves
TConstruct:slime.sapling:0, Slimy Sapling
TConstruct:slime.channel, Slime Channel
TConstruct:blood.channel, Blood Channel
TConstruct:slime.pad, Bounce Pad
TConstruct:decoration.stonetorch, Torch
TConstruct:decoration.stoneladder, Ladder
TConstruct:decoration.multibrick:0, Obsidian Brick
TConstruct:decoration.multibrick:1, Sandstone Brick
TConstruct:decoration.multibrick:2, Netherrack Brick
TConstruct:decoration.multibrick:3, Polished Stone Brick
TConstruct:decoration.multibrick:4, Iron Brick
TConstruct:decoration.multibrick:5, Gold Brick
TConstruct:decoration.multibrick:6, Lapis Brick
TConstruct:decoration.multibrick:7, Diamond Brick
TConstruct:decoration.multibrick:8, Redstone Brick
TConstruct:decoration.multibrick:9, Bone Brick
TConstruct:decoration.multibrick:10, Slime Brick
TConstruct:decoration.multibrick:11, Slime Brick
TConstruct:decoration.multibrick:12, Endstone Brick
TConstruct:decoration.multibrick:13, Obsidian Brick
TConstruct:decoration.multibrickfancy:0, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:1, Fancy Sandstone Brick
TConstruct:decoration.multibrickfancy:2, Fancy Netherrack Brick
TConstruct:decoration.multibrickfancy:3, Fancy Polished Stone Brick
TConstruct:decoration.multibrickfancy:4, Fancy Iron Brick
TConstruct:decoration.multibrickfancy:5, Fancy Gold Brick
TConstruct:decoration.multibrickfancy:6, Fancy Lapis Brick
TConstruct:decoration.multibrickfancy:7, Fancy Diamond Brick
TConstruct:decoration.multibrickfancy:8, Fancy Redstone Brick
TConstruct:decoration.multibrickfancy:9, Fancy Bone Brick
TConstruct:decoration.multibrickfancy:10, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:11, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:12, Fancy Endstone Brick
TConstruct:decoration.multibrickfancy:13, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:14, Fancy Stone Brick
TConstruct:decoration.multibrickfancy:15, Stone Road
TConstruct:decoration.multibrickmetal:0, Alumite Brick
TConstruct:decoration.multibrickmetal:1, Ardite Brick
TConstruct:decoration.multibrickmetal:2, Cobalt Brick
TConstruct:decoration.multibrickmetal:3, Manyullyn Brick
TConstruct:decoration.multibrickmetal:4, Fancy Alumite Brick
TConstruct:decoration.multibrickmetal:5, Fancy Ardite Brick
TConstruct:decoration.multibrickmetal:6, Fancy Cobalt Brick
TConstruct:decoration.multibrickmetal:7, Fancy Manyullyn Brick
TConstruct:ore.berries.one:8, Iron Oreberry Bush
TConstruct:ore.berries.one:9, Gold Oreberry Bush
TConstruct:ore.berries.one:10, Copper Oreberry Bush
TConstruct:ore.berries.one:11, Tin Oreberry Bush
TConstruct:ore.berries.two:8, Aluminum Oreberry Bush
TConstruct:ore.berries.two:9, Essence Berry Bush
TConstruct:SearedBrick:1, Cobalt Ore
TConstruct:SearedBrick:2, Ardite Ore
TConstruct:SearedBrick:3, Copper Ore
TConstruct:SearedBrick:4, Tin Ore
TConstruct:SearedBrick:5, Aluminum Ore
TConstruct:GravelOre:0, Iron Gravel Ore
TConstruct:GravelOre:1, Gold Gravel Ore
TConstruct:GravelOre:2, Copper Gravel Ore
TConstruct:GravelOre:3, Tin Gravel Ore
TConstruct:GravelOre:4, Aluminum Gravel Ore
TConstruct:GravelOre:5, Cobalt Gravel Ore
TConstruct:rail.wood, Wooden Rail
TConstruct:MetalBlock:0, Block of Cobalt
TConstruct:MetalBlock:1, Block of Ardite
TConstruct:MetalBlock:2, Block of Manyullyn
TConstruct:MetalBlock:3, Block of Copper
TConstruct:MetalBlock:4, Block of Bronze
TConstruct:MetalBlock:5, Block of Tin
TConstruct:MetalBlock:6, Block of Aluminum
TConstruct:MetalBlock:7, Block of Aluminum Brass
TConstruct:MetalBlock:8, Block of Alumite
TConstruct:MetalBlock:9, Block of Steel
TConstruct:MetalBlock:10, Block of Solid Ender
TConstruct:ToolStationBlock:0, Tool Station
TConstruct:ToolStationBlock:1, Part Builder
TConstruct:ToolStationBlock:2, Part Builder
TConstruct:ToolStationBlock:3, Part Builder
TConstruct:ToolStationBlock:4, Part Builder
TConstruct:ToolStationBlock:5, Pattern Chest
TConstruct:ToolStationBlock:10, Stencil Table
TConstruct:ToolStationBlock:11, Stencil Table
TConstruct:ToolStationBlock:12, Stencil Table
TConstruct:ToolStationBlock:13, Stencil Table
TConstruct:ToolForgeBlock:0, Tool Forge
TConstruct:ToolForgeBlock:1, Tool Forge
TConstruct:ToolForgeBlock:2, Tool Forge
TConstruct:ToolForgeBlock:3, Tool Forge
TConstruct:ToolForgeBlock:4, Tool Forge
TConstruct:ToolForgeBlock:5, Tool Forge
TConstruct:ToolForgeBlock:6, Tool Forge
TConstruct:ToolForgeBlock:7, Tool Forge
TConstruct:ToolForgeBlock:8, Tool Forge
TConstruct:ToolForgeBlock:9, Tool Forge
TConstruct:ToolForgeBlock:10, Tool Forge
TConstruct:ToolForgeBlock:11, Tool Forge
TConstruct:ToolForgeBlock:12, Tool Forge
TConstruct:ToolForgeBlock:13, Tool Forge
TConstruct:CraftingStation, Crafting Station
TConstruct:CraftingSlab:0, Crafting Station
TConstruct:CraftingSlab:1, Tool Station
TConstruct:CraftingSlab:2, Part Builder
TConstruct:CraftingSlab:3, Stencil Table
TConstruct:CraftingSlab:4, Pattern Chest
TConstruct:CraftingSlab:5, Tool Forge
TConstruct:FurnaceSlab, Slab Furnace
TConstruct:HeldItemBlock, Frying Pan
TConstruct:BattleSignBlock, tile.Battlesign.name
TConstruct:CraftedSoil:0, Slimy Mud
TConstruct:CraftedSoil:1, Grout
TConstruct:CraftedSoil:2, Slimy Mud
TConstruct:CraftedSoil:3, Graveyard Soil
TConstruct:CraftedSoil:4, Consecrated Soil
TConstruct:CraftedSoil:5, Blue Slimedirt
TConstruct:CraftedSoil:6, Slime Soil
TConstruct:fluid.molten.iron, Molten Iron
TConstruct:fluid.molten.gold, Molten Gold
TConstruct:fluid.molten.copper, Molten Copper
TConstruct:fluid.molten.tin, Liquid Tin
TConstruct:fluid.molten.aluminum, Molten Aluminum
TConstruct:fluid.molten.cobalt, Molten Cobalt
TConstruct:fluid.molten.ardite, Molten Ardite
TConstruct:fluid.molten.bronze, Molten Bronze
TConstruct:fluid.molten.alubrass, Molten Aluminum Brass
TConstruct:fluid.molten.manyullyn, Molten Manyullyn
TConstruct:fluid.molten.alumite, Molten Alumite
TConstruct:fluid.molten.obsidian, Molten Obsidian
TConstruct:fluid.molten.steel, Molten Steel
TConstruct:fluid.molten.glass, Molten Glass
TConstruct:molten.stone, Seared Stone
TConstruct:molten.emerald, Liquified Emerald
TConstruct:fluid.molten.nickel, Molten Nickel
TConstruct:fluid.molten.lead, Molten Lead
TConstruct:fluid.molten.silver, Molten Silver
TConstruct:fluid.molten.shiny, Molten Shiny
TConstruct:fluid.molten.invar, Molten Invar
TConstruct:fluid.molten.electrum, Molten Electrum
TConstruct:fluid.ender, Liquified Ender
TConstruct:fluid.molten.lumium, Molten Lumium
TConstruct:fluid.molten.signalum, Molten Signalum
TConstruct:fluid.molten.mithril, Molten Mana Infused Metal
TConstruct:fluid.molten.enderium, Molten Enderium
TConstruct:liquid.blood, Blood
TConstruct:liquid.glue, Glue
TConstruct:fluid.molten.pigiron, Molten Pig Iron
TConstruct:SearedSlab:0, Seared Brick Slab
TConstruct:SearedSlab:1, Seared Stone Slab
TConstruct:SearedSlab:2, Seared Cobblestone Slab
TConstruct:SearedSlab:3, Seared Paver Slab
TConstruct:SearedSlab:4, Seared Road Slab
TConstruct:SearedSlab:5, Fancy Seared Slab
TConstruct:SearedSlab:6, Chiseled Seared Slab
TConstruct:SearedSlab:7, Chiseled Seared Slab
TConstruct:SpeedSlab:0, Rough Brownstone Slab
TConstruct:SpeedSlab:1, Brownstone Road Slab
TConstruct:SpeedSlab:2, Brownstone Slab
TConstruct:SpeedSlab:3, Brownstone Brick Slab
TConstruct:SpeedSlab:4, Brownstone Road Slab
TConstruct:SpeedSlab:5, Fancy Brownstone Slab
TConstruct:SpeedSlab:6, Chiseled Brownstone Slab
TConstruct:GlueBlock, Glue Block
TConstruct:Smeltery:0, Smeltery Controller
TConstruct:Smeltery:1, Smeltery Drain
TConstruct:Smeltery:2, Seared Bricks
TConstruct:Smeltery:4, Seared Stone
TConstruct:Smeltery:5, Seared Cobblestone
TConstruct:Smeltery:6, Seared Paver
TConstruct:Smeltery:7, Cracked Seared Bricks
TConstruct:Smeltery:8, Seared Road
TConstruct:Smeltery:9, Fancy Seared Bricks
TConstruct:Smeltery:10, Chiseled Seared Bricks
TConstruct:Smeltery:11, Chiseled Seared Bricks
TConstruct:SmelteryNether:0, Smeltery Controller
TConstruct:SmelteryNether:1, Smeltery Drain
TConstruct:SmelteryNether:2, Seared Bricks
TConstruct:SmelteryNether:4, Seared Stone
TConstruct:SmelteryNether:5, Seared Cobblestone
TConstruct:SmelteryNether:6, Seared Paver
TConstruct:SmelteryNether:7, Cracked Seared Bricks
TConstruct:SmelteryNether:8, Seared Road
TConstruct:SmelteryNether:9, Fancy Seared Bricks
TConstruct:SmelteryNether:10, Chiseled Seared Bricks
TConstruct:SmelteryNether:11, Chiseled Seared Bricks
TConstruct:LavaTank:0, Seared Tank
TConstruct:LavaTank:1, Seared Glass
TConstruct:LavaTank:2, Seared Window
TConstruct:LavaTankNether:0, Seared Tank
TConstruct:LavaTankNether:1, Seared Glass
TConstruct:LavaTankNether:2, Seared Window
TConstruct:SearedBlock:0, Casting Table
TConstruct:SearedBlock:1, Seared Faucet
TConstruct:SearedBlock:2, Casting Basin
TConstruct:SearedBlockNether:0, Casting Table
TConstruct:SearedBlockNether:1, Seared Faucet
TConstruct:SearedBlockNether:2, Casting Basin
TConstruct:CastingChannel:0, Casting Channel
TConstruct:SpeedBlock:0, Rough Brownstone
TConstruct:SpeedBlock:1, Brownstone Road
TConstruct:SpeedBlock:2, Brownstone
TConstruct:SpeedBlock:3, Brownstone Brick
TConstruct:SpeedBlock:4, Brownstone Road
TConstruct:SpeedBlock:5, Fancy Brownstone
TConstruct:SpeedBlock:6, Chiseled Brownstone
TConstruct:GlassBlock:0, Clear Glass
TConstruct:GlassPane:0, Clear Glass Pane
TConstruct:GlassBlock.StainedClear:0, White Stained Glass
TConstruct:GlassBlock.StainedClear:1, Orange Stained Glass
TConstruct:GlassBlock.StainedClear:2, Magenta Stained Glass
TConstruct:GlassBlock.StainedClear:3, Light Blue Stained Glass
TConstruct:GlassBlock.StainedClear:4, Yellow Stained Glass
TConstruct:GlassBlock.StainedClear:5, Lime Stained Glass
TConstruct:GlassBlock.StainedClear:6, Pink Stained Glass
TConstruct:GlassBlock.StainedClear:7, Gray Stained Glass
TConstruct:GlassBlock.StainedClear:8, Light Gray Stained Glass
TConstruct:GlassBlock.StainedClear:9, Cyan Stained Glass
TConstruct:GlassBlock.StainedClear:10, Purple Stained Glass
TConstruct:GlassBlock.StainedClear:11, Blue Stained Glass
TConstruct:GlassBlock.StainedClear:12, Brown Stained Glass
TConstruct:GlassBlock.StainedClear:13, Green Stained Glass
TConstruct:GlassBlock.StainedClear:14, Red Stained Glass
TConstruct:GlassBlock.StainedClear:15, Black Stained Glass
TConstruct:GlassPaneClearStained:0, White Stained Pane
TConstruct:GlassPaneClearStained:1, Orange Stained Pane
TConstruct:GlassPaneClearStained:2, Magenta Stained Pane
TConstruct:GlassPaneClearStained:3, Light Blue Stained Pane
TConstruct:GlassPaneClearStained:4, Yellow Stained Pane
TConstruct:GlassPaneClearStained:5, Lime Stained Pane
TConstruct:GlassPaneClearStained:6, Pink Stained Pane
TConstruct:GlassPaneClearStained:7, Gray Stained Pane
TConstruct:GlassPaneClearStained:8, Light Gray Stained Pane
TConstruct:GlassPaneClearStained:9, Cyan Stained Pane
TConstruct:GlassPaneClearStained:10, Purple Stained Pane
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
TConstruct:Redstone.Landmine:0, Landmine
TConstruct:Redstone.Landmine:1, Landmine
TConstruct:Redstone.Landmine:2, Landmine
TConstruct:Redstone.Landmine:3, Landmine
TConstruct:Armor.DryingRack, Drying Rack
Metallurgy:machine.frame, Machine Frame
Metallurgy:crusher, Crusher
Metallurgy:alloyer, Alloyer
Metallurgy:forge, Forge
Metallurgy:abstractor, Abstractor
Metallurgy:base.ore:0, Copper Ore
Metallurgy:base.ore:1, Tin Ore
Metallurgy:base.ore:2, Manganese Ore
Metallurgy:base.block:0, Copper Block
Metallurgy:base.block:1, Tin Block
Metallurgy:base.block:2, Manganese Block
Metallurgy:base.block:3, Bronze Block
Metallurgy:base.block:4, Hepatizon Block
Metallurgy:base.block:5, Damascus Steel Block
Metallurgy:base.block:6, Angmallen Block
Metallurgy:base.block:7, Steel Block
Metallurgy:base.brick:0, Copper Brick
Metallurgy:base.brick:1, Tin Brick
Metallurgy:base.brick:2, Manganese Brick
Metallurgy:base.brick:3, Bronze Brick
Metallurgy:base.brick:4, Hepatizon Brick
Metallurgy:base.brick:5, Damascus Steel Brick
Metallurgy:base.brick:6, Angmallen Brick
Metallurgy:base.brick:7, Steel Brick
Metallurgy:copper.molten, Molten Copper
Metallurgy:tin.molten, Molten Tin
Metallurgy:manganese.molten, Molten Manganese
Metallurgy:bronze.molten, Molten Bronze
Metallurgy:hepatizon.molten, Molten Hepatizon
Metallurgy:damascus.steel.molten, Molten Damascus Steel
Metallurgy:angmallen.molten, Molten Angmallen
Metallurgy:steel.molten, Molten Steel
Metallurgy:ender.ore:0, Eximite Ore
Metallurgy:ender.ore:1, Meutoite Ore
Metallurgy:ender.block:0, Eximite Block
Metallurgy:ender.block:1, Meutoite Block
Metallurgy:ender.block:2, Desichalkos Block
Metallurgy:ender.brick:0, Eximite Brick
Metallurgy:ender.brick:1, Meutoite Brick
Metallurgy:ender.brick:2, Desichalkos Brick
Metallurgy:eximite.molten, Molten Eximite
Metallurgy:meutoite.molten, Molten Meutoite
Metallurgy:desichalkos.molten, Molten Desichalkos
Metallurgy:fantasy.ore:0, Prometheum Ore
Metallurgy:fantasy.ore:1, Deep Iron Ore
